"virus";"material";"temperature";"humidity";"replicate";"time";"titer"
"SARS-CoV-2";"Aerosols";"21-23";"65";"3";"0.5";"316.22776601683825"
"SARS-CoV-2";"Aerosols";"21-23";"65";"1";"1";"316.22776601683825"
"SARS-CoV-2";"Aerosols";"21-23";"65";"2";"1";"316.22776601683825"
"SARS-CoV-2";"Aerosols";"21-23";"65";"3";"1";"177.82794100389242"
"SARS-CoV-2";"Aerosols";"21-23";"65";"1";"2";"177.82794100389242"
"SARS-CoV-2";"Aerosols";"21-23";"65";"2";"2";"56.234132519034915"
"SARS-CoV-2";"Aerosols";"21-23";"65";"3";"2";"316.22776601683825"
"SARS-CoV-2";"Aerosols";"21-23";"65";"1";"3";"100"
"SARS-CoV-2";"Aerosols";"21-23";"65";"2";"3";"316.22776601683825"
"SARS-CoV-2";"Aerosols";"21-23";"65";"3";"3";"56.234132519034915"
"SARS-CoV-1";"Steel";"21-23";"40";"1";"0";"5623.4132519034993"
"SARS-CoV-1";"Steel";"21-23";"40";"2";"0";"5623.4132519034993"
"SARS-CoV-1";"Steel";"21-23";"40";"3";"0";"1778.2794100389244"
"SARS-CoV-1";"Steel";"21-23";"40";"1";"1";"3162.2776601683804"
"SARS-CoV-1";"Steel";"21-23";"40";"2";"1";"1000"
"SARS-CoV-1";"Steel";"21-23";"40";"3";"1";"3162.2776601683804"
"SARS-CoV-1";"Steel";"21-23";"40";"1";"4";"1000"
"SARS-CoV-1";"Steel";"21-23";"40";"2";"4";"1000"
"SARS-CoV-1";"Steel";"21-23";"40";"3";"4";"562.34132519034927"
"SARS-CoV-1";"Steel";"21-23";"40";"1";"8";"1778.2794100389244"
"SARS-CoV-1";"Steel";"21-23";"40";"2";"8";"562.34132519034927"
"SARS-CoV-1";"Steel";"21-23";"40";"3";"8";"316.22776601683825"
"SARS-CoV-1";"Steel";"21-23";"40";"1";"24";"10"
"SARS-CoV-1";"Steel";"21-23";"40";"2";"24";"10"
"SARS-CoV-1";"Steel";"21-23";"40";"3";"24";"100"
"SARS-CoV-1";"Steel";"21-23";"40";"1";"48";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"2";"48";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"3";"48";"5.6234132519034921"
"SARS-CoV-1";"Steel";"21-23";"40";"1";"72";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"2";"72";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"3";"72";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"1";"96";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"2";"96";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"3";"96";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"1";"120";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"2";"120";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"3";"120";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"1";"144";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"2";"144";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"3";"144";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"1";"168";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"2";"168";"3.1622776601683795"
"SARS-CoV-1";"Steel";"21-23";"40";"3";"168";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"1";"0";"5623.4132519034993"
"SARS-CoV-1";"Plastic";"21-23";"40";"2";"0";"1000"
"SARS-CoV-1";"Plastic";"21-23";"40";"3";"0";"1778.2794100389244"
"SARS-CoV-1";"Plastic";"21-23";"40";"1";"1";"1000"
"SARS-CoV-1";"Plastic";"21-23";"40";"2";"1";"562.34132519034927"
"SARS-CoV-1";"Plastic";"21-23";"40";"3";"1";"1000"
"SARS-CoV-1";"Plastic";"21-23";"40";"1";"4";"1000"
"SARS-CoV-1";"Plastic";"21-23";"40";"2";"4";"562.34132519034927"
"SARS-CoV-1";"Plastic";"21-23";"40";"3";"4";"1778.2794100389244"
"SARS-CoV-1";"Plastic";"21-23";"40";"1";"8";"316.22776601683825"
"SARS-CoV-1";"Plastic";"21-23";"40";"2";"8";"1000"
"SARS-CoV-1";"Plastic";"21-23";"40";"3";"8";"177.82794100389242"
"SARS-CoV-1";"Plastic";"21-23";"40";"1";"24";"56.234132519034915"
"SARS-CoV-1";"Plastic";"21-23";"40";"2";"24";"56.234132519034915"
"SARS-CoV-1";"Plastic";"21-23";"40";"3";"24";"100"
"SARS-CoV-1";"Plastic";"21-23";"40";"1";"48";"5.6234132519034921"
"SARS-CoV-1";"Plastic";"21-23";"40";"2";"48";"10"
"SARS-CoV-1";"Plastic";"21-23";"40";"3";"48";"5.6234132519034921"
"SARS-CoV-1";"Plastic";"21-23";"40";"1";"72";"5.6234132519034921"
"SARS-CoV-1";"Plastic";"21-23";"40";"2";"72";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"3";"72";"5.6234132519034921"
"SARS-CoV-1";"Plastic";"21-23";"40";"1";"96";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"2";"96";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"3";"96";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"1";"120";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"2";"120";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"3";"120";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"1";"144";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"2";"144";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"3";"144";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"1";"168";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"2";"168";"3.1622776601683795"
"SARS-CoV-1";"Plastic";"21-23";"40";"3";"168";"3.1622776601683795"
"SARS-CoV-1";"Copper";"21-23";"40";"1";"0";"1778.2794100389244"
"SARS-CoV-1";"Copper";"21-23";"40";"2";"0";"3162.2776601683804"
